,Ten,Gia ,Link
66,Fahasa - Anh Luôn Ở Bên Em - Tặng Kèm Bookmark Lá,"₫133,764",https://www.lazada.vn/products/fahasa-anh-luon-o-ben-em-tang-kem-bookmark-la-i1367909662.html
67,Fahasa - Chân Trời Góc Bể (Tái Bản 2020),"₫89,775",https://www.lazada.vn/products/fahasa-chan-troi-goc-be-tai-ban-2020-i552584164.html
68,Fahasa - Người Bên Gối,"₫97,835",https://www.lazada.vn/products/fahasa-nguoi-ben-goi-i1819689641.html
69,"Sách - Nhắn gửi một tôi, người đã yêu em (Nhã Nam HCM)","₫92,026",https://www.lazada.vn/products/sach-nhan-gui-mot-toi-nguoi-da-yeu-em-nha-nam-hcm-i1427586661.html
70,Fahasa - Sự Cám Dỗ Cuối Cùng (Tái Bản 2019),"₫138,000",https://www.lazada.vn/products/fahasa-su-cam-do-cuoi-cung-tai-ban-2019-i1599834997.html
71,Fahasa - Mãi Mãi Là Bao Xa (Tái Bản),"₫125,550",https://www.lazada.vn/products/fahasa-mai-mai-la-bao-xa-tai-ban-i1989876679.html
72,Sách - Trâm (Tập 4) - Chim liền cánh - Nhã Nam HCM,"₫97,090",https://www.lazada.vn/products/sach-tram-tap-4-chim-lien-canh-nha-nam-hcm-i1434297229.html
73,"Sách - Từ Điển Tiếng ""Em"" [SKYBOOKS]","₫58,650",https://www.lazada.vn/products/sach-tu-dien-tieng-em-skybooks-i1243040012.html
74,Sách - Đất Rừng Phương Nam - 1101148422040,"₫65,000",https://www.lazada.vn/products/sach-dat-rung-phuong-nam-1101148422040-i1240616828.html
75,Sách - Thần Chết Làm Thêm 300 Yên/Giờ - Fujimaru,"₫90,000",https://www.lazada.vn/products/sach-than-chet-lam-them-300-yengio-fujimaru-i1279297943.html
76,Sách - Bên trời ngân mãi khúc đào hoa (Nhã Nam HCM),"₫97,680",https://www.lazada.vn/products/sach-ben-troi-ngan-mai-khuc-dao-hoa-nha-nam-hcm-i1455800867.html
77,Sách - Ông Xã Là Phúc Hắc Đại Nhân (Bản Đặc Biệt Tặng Móc Khóa Số Lượng Có Hạn),"₫143,270",https://www.lazada.vn/products/sach-ong-xa-la-phuc-hac-dai-nhan-ban-dac-biet-tang-moc-khoa-so-luong-co-han-i1279266964.html
